feature,importance_gain,importance_split
initial_rank_recip,6901238.78913784,1386
cosine_score,3606990.689816475,1952
same_artist_as_history,1456919.1052675247,316
query_track_jaccard,418016.760641098,1739
initial_score,352989.3143482208,1607
popularity,333469.40909671783,1891
tag_overlap_query,204226.82271289825,1223
tag_overlap_history,174365.92141914368,1616
bm25_score,117202.36123752594,1813
artist_in_query,112672.79999065399,303
same_album_as_history,76460.72917842865,253
query_track_overlap,75484.9971446991,930
turn_number,63768.153723716736,546
track_age_at_session,57000.64539337158,962
duration_min,27807.41019821167,1115
release_year,23151.49697303772,773
history_track_count,11621.915385246277,86
album_in_query,3606.026291847229,89
